id_filme_TMDB,id_filme_sequencia_TMDB
140607,181808
299536,299534
135397,351286
24428,99861
168259,337339
99861,299536
181808,181812
109445,330457
38356,91314
37724,206647
10193,301528
58,285
1865,166426
49051,57158
155,49026
671,672
93456,324852
353486,512200
285,1865
57158,122917
12444,12445
12,127380
675,767
767,12444
809,810
121,122
674,675
8355,57800
315635,429617
672,673
120,121
1895,140607
8373,38356
557,558
810,10192
673,674
82992,168259
558,559
293660,383498
118340,283995
49521,209112
