id_TMDB,id_IMDB,titulo,titulo_original,sinopse,duracao,ano,classificacao,situacao,idioma_original,orcamento,receita,num_oscars
351286,tt4881806,Jurassic World: Reino Ameaçado,Jurassic World: Fallen Kingdom,"Quatro anos após o fechamento do Jurassic World, um vulcão prestes a entrar em erupção põe em risco a vida na ilha Nublar. No local não há mais qualquer presença humana, com os dinossauros vivendo livremente. Diante da situação, é preciso tomar uma decisão: deve-se retornar à ilha para salvar os animais ou abandoná-los para uma nova extinção? Decidida a resgatá-los, Claire convoca Owen a retornar à ilha com ela.",128,2018,United States:PG-13,Released,en,170000000,1303459585,0.0
109445,tt2294629,Frozen: Uma Aventura Congelante,Frozen,"A destemida e otimista Anna sai em uma jornada épica, ao lado de Kristoff e sua leal rena Sven, para encontrar sua irmã Elsa, cujos poderes congelantes aprisionaram o reino de Arendelle em um inverno eterno. Encontrando condições de Everest, trolls místicos e um hilário boneco de neve chamado Olaf, Anna e Kristoff enfrentam obstáculos em uma corrida para salvar o reino.",102,2013,United States:TV-PG,Released,en,150000000,1274219009,2.0
321612,tt2771200,A Bela e a Fera,Beauty and the Beast,"Moradora de uma pequena aldeia francesa, Bela tem o pai capturado pela Fera e decide entregar sua vida ao estranho ser em troca da liberdade do progenitor. No castelo ela conhece objetos mágicos e descobre que a Fera é na verdade um príncipe que precisa de amor para voltar à forma humana.",129,2017,United States:TV-PG::(TV Rating),Released,en,160000000,1263521126,0.0
260513,tt3606756,Os Incríveis 2,Incredibles 2,"Helena é chamada para liderar uma campanha para trazer os superheróis de volta. Enquanto Roberto deve enfrentar os desafios heroicos do dia a dia da vida doméstica. Mas quando um novo vilão aparece com um plano brilhante e perigoso, a família Pêra enfrenta o desafio juntos  com Gelado do lado deles.",118,2018,United States:PG,Released,en,200000000,1242805359,0.0
337339,tt4630562,Velozes & Furiosos 8,The Fate of the Furious,"Depois que Brian e Mia se aposentaram, e o resto da equipe foi exonerado, Dom e Letty estão em lua de mel e levam uma vida pacata e completamente normal. Mas a adrenalina do passado volta com tudo quando uma mulher misteriosa faz com que Dom retorne ao mundo do crime e da velocidade.",136,2017,United States:PG-13,Released,en,250000000,1238764765,0.0
68721,tt1300854,Homem de Ferro 3,Iron Man 3,"Depois de um inimigo reduzir o mundo de Tony Stark a destroços, o Homem de Ferro precisa aprender a confiar em seus instintos para proteger aqueles que ama, especialmente sua namorada, e lutar contra seu maior medo: o fracasso.",130,2013,United States:PG-13,Released,en,200000000,1214811252,0.0
561499,tt0047307,Thunderball,Thunderball,,95,1954,desconhecida,Released,en,5600000,1161430514,0.0
211672,tt2293640,Minions: O Filme,Minions,"Seres amarelos milenares, os minions têm uma missão: servir os maiores vilões. Em depressão desde a morte de seu antigo mestre, eles tentam encontrar um novo chefe. Três voluntários, Kevin, Stuart e Bob, vão até uma convenção de vilões nos Estados Unidos e lá se encantam com Scarlet Overkill (Sandra Bullock), que ambiciona ser a primeira mulher a dominar o mundo.",91,2015,United States:TV-G,Released,en,74000000,1156730962,0.0
271110,tt3498820,Capitão América: Guerra Civil,Captain America: Civil War,"O ataque de Ultron fez com que os políticos buscassem algum meio de controlar os super-heróis, já que seus atos afetam toda a humanidade. Tal decisão coloca o Capitão América em rota de colisão com Tony Stark, o Homem de Ferro.",137,2016,United States:PG-13,Released,en,250000000,1153296293,0.0
297802,tt1477834,Aquaman,Aquaman,"A cidade de Atlantis, que já foi lar de uma das mais avançadas civilizações do mundo, agora é um reino submerso dominado pelo ganancioso Rei Orm. Com um vasto exército a seu dispor, Orm planeja conquistar tanto os demais reinos do oceano, quanto o mundo da superfície. Em seu caminho está Aquaman, meio-humano e meio-atlante, e verdadeiro herdeiro do trono. Com a ajuda da princesa Mera, Aquaman precisa recuperar o lendário Tridente de Atlan e aceitar seu destino como protetor das profundezas.",143,2018,United States:PG-13,Released,en,160000000,1148461807,0.0
