nome_franquia,id_filme_TMDB
The Matrix Collection,605
Dumb and Dumber Collection,10020
Venom Collection,580489
300 Collection,1271
Chronicle Collection,2454
The Mummy Collection,564
Chronicle Collection,10140
The Bourne Collection,324668
Alice in Wonderland Collection,76170
City Slickers Collection,4564
Alice in Wonderland Collection,207703
Planet of the Apes (Reboot) Collection,18360
Batman Collection,268
Alice in Wonderland Collection,343668
Ice Age,278154
Demon Slayer - Movie Collection,36658
Pacific Rim Collection,68726
The Mummy Collection,1735
Planet of the Apes (Reboot) Collection,70981
TRON Collection,20526
Miss Congeniality Collection,956
The Huntsman Collection,58595
Mamma Mia! Collection,458423
The Twilight Collection,8966
Dragon Ball Super Collection,1452
Bridget Jones Collection,85
Independence Day Collection,47933
Armour of God Collection,373571
Star Trek: Alternate Reality Collection,13475
Happy Feet Collection,9836
Cars Collection,260514
Die Hard Collection,1571
Ice Age,425
Kung Fu Panda Collection,105
Armour of God Collection,929
Mad Max Collection,76341
Fifty Shades Collection,341174
Marvel Cinematic Universe,497698
Taken Collection,82675
Demon Slayer - Movie Collection,324857
The Dark Knight Trilogy,272
Toy Story,862
Alice in Wonderland Collection,2080
Aladdin (Live-Action) Collection,72559
Alice in Wonderland Collection,534
Alice in Wonderland Collection,1771
Marvel Cinematic Universe,1771
Die Hard Collection,137113
Marshal Samuel Gerard Collection,5503
Jurassic Park,331
Alice in Wonderland Collection,8346
Fifty Shades Collection,337167
Die Hard Collection,1572
Shazam! Collection,287947
DC Extended Universe,287947
Planet of the Apes (Reboot) Collection,181533
Dumb and Dumber Collection,13804
Ocean's Collection,163
The Hangover Collection,109439
James Bond,36643
Alice in Wonderland Collection,6477
Home Alone Collection,772
Hot Shots! Collection,76492
Top Gun Collection,744
Journey Collection,72545
Demon Slayer - Movie Collection,49538
Alice in Wonderland Collection,402
James Bond,710
Hercule Poirot (Kenneth Branagh) Collection,392044
Now You See Me Collection,75656
The Hannibal Lecter Collection,9740
The Mask Collection,854
Pet Sematary Reboot Collection,381719
Speed Collection,1637
The Angry Birds Collection,153518
Alice in Wonderland Collection,400650
Chicken Run Collection,198663
National Treasure Collection,2059
The Smurfs (Theatrical) Collection,77931
Rush Hour Collection,5175
The Trolls Collection,136799
The X Files Collection,47971
Pocahontas Collection,10530
Star Trek: Alternate Reality Collection,188927
Alice in Wonderland Collection,55301
Alice in Wonderland Collection,888
A Quiet Place Collection,447332
Enchanted Collection,4523
300 Collection,53182
Batman Collection,414
Now You See Me Collection,291805
Sherlock Holmes Collection,58574
Pokémon Collection,36218
Fantastic Beasts Collection,9738
James Bond,714
Bridget Jones Collection,87
Kung Fu Panda Collection,165
Dune Collection,438631
Free Guy Collection,550988
Now You See Me Collection,1597
Crocodile Dundee Collection,9671
John Wick Collection,458156
Taken Collection,260346
The Hunchback of Notre Dame Collection,10545
Lethal Weapon Collection,943
Aladdin (Live-Action) Collection,11674
Alice in Wonderland Collection,259693
Alice in Wonderland Collection,138843
Beverly Hills Cop Collection,90
The Expendables Collection,76163
Thor,2898
Chicken Run Collection,294254
Resident Evil Collection,173897
Alice in Wonderland Collection,817
SpongeBob Collection,228165
Ocean's Collection,298
Now You See Me Collection,39451
Knives Out Collection,546554
Planet of the Apes (Reboot) Collection,454626
Annabelle Collection,396422
Die Hard Collection,47964
Mulan Collection,10674
Aladdin (Live-Action) Collection,14869
Planet of the Apes (Reboot) Collection,57165
Fantastic Beasts Collection,1979
Rocky Collection,1374
Rambo Collection,1369
Alice in Wonderland Collection,7131
Resident Evil Collection,35791
Dragon Ball Super Collection,1924
Stuart Little Collection,10137
Beverly Hills Cop Collection,96
Alice in Wonderland Collection,241259
A Quiet Place Collection,520763
Alice in Wonderland Collection,9494
Alice in Wonderland Collection,818
James Bond,818
Demon Slayer - Movie Collection,36657
Ghost Rider Collection,620
Divergent Collection,262500
Dr. Dolittle Collection,3050
City Slickers Collection,37786
Pacific Rim Collection,268896
Alice in Wonderland Collection,9602
Divergent Collection,157350
The Bourne Collection,2502
Chicken Run Collection,336843
Casper Collection,8839
American Pie Collection,2770
Pitch Perfect Collection,254470
Lethal Weapon Collection,944
Bridget Jones Collection,634
Batman Collection,364
Alice in Wonderland Collection,299824
Demon Slayer - Movie Collection,4247
The X Files Collection,7451
The Bourne Collection,49040
Baahubali Collection,350312
Demon Slayer - Movie Collection,9637
Tomb Raider Collection,1995
Pet Sematary Reboot Collection,338970
The Expendables Collection,27578
Bad Boys Collection,8961
Hobbs & Shaw Collection,11544
The Hannibal Lecter Collection,274
Grown Ups Collection,38365
Neighbors Collection,195589
Rocky Collection,1371
Bambi Collection,3170
Charlie's Angels Collection,4327
Alice in Wonderland Collection,11224
Jumanji,8844
Demon Slayer - Movie Collection,496
Bridget Jones Collection,9801
Alice in Wonderland Collection,290859
Blade Collection,335984
Alice in Wonderland Collection,116149
Charlie's Angels Collection,9471
Rush Hour Collection,5174
Annabelle Collection,250546
Babe Collection,9598
Halloween Collection,424139
High School Musical Collection,11887
