nome_genero,id_filme_TMDB
Ficção científica,70160
Aventura,70160
Fantasia,70160
Aventura,277834
Comédia,277834
Família,277834
Animação,277834
Ação,602666
Comédia,602666
Mistério,602666
Animação,615453
Fantasia,615453
Aventura,615453
Ação,177677
Aventura,177677
Ação,284052
Aventura,284052
Fantasia,284052
Ficção científica,284052
Comédia,13
Drama,13
Romance,13
Mistério,745
Thriller,745
Drama,745
Animação,49444
Família,49444
Animação,950
Família,950
Comédia,950
Aventura,950
Ação,141052
Aventura,141052
Fantasia,141052
Ficção científica,141052
Aventura,177572
Família,177572
Animação,177572
Ação,177572
Comédia,177572
Ação,791373
Aventura,791373
Fantasia,791373
Ficção científica,791373
Aventura,22
Fantasia,22
Ação,22
Ação,131634
Aventura,131634
Ficção científica,131634
Aventura,338952
Fantasia,338952
Drama,338952
Aventura,1894
Ação,1894
Ficção científica,1894
Ação,76338
Aventura,76338
Fantasia,76338
Família,335797
Animação,335797
Música,335797
Comédia,335797
Drama,335797
Drama,779029
Guerra,779029
Ação,9502
Aventura,9502
Animação,9502
Família,9502
Comédia,9502
Ação,9806
Aventura,9806
Animação,9806
Família,9806
Drama,286217
Aventura,286217
Ficção científica,286217
Fantasia,8960
Ação,8960
Ação,51497
Thriller,51497
Crime,51497
Ação,41154
Comédia,41154
Ficção científica,41154
Aventura,10138
Ação,10138
Ficção científica,10138
Animação,2062
Comédia,2062
Família,2062
Fantasia,2062
Ação,363088
Aventura,363088
Ficção científica,363088
Fantasia,82702
Ação,82702
Aventura,82702
Animação,82702
Comédia,82702
Família,82702
Ação,263115
Drama,263115
Ficção científica,263115
Aventura,330
Ação,330
Ficção científica,330
Drama,615
Comédia,11631
Romance,11631
Aventura,87827
Drama,87827
Ação,87827
Ação,335988
Aventura,335988
Ficção científica,335988
Fantasia,335988
Família,10527
Aventura,10527
Animação,10527
Comédia,10527
Aventura,74
Thriller,74
Ficção científica,74
Aventura,36557
Ação,36557
Thriller,36557
Animação,38757
Família,38757
Aventura,10764
Ação,10764
Thriller,10764
Crime,10764
Ação,607
Aventura,607
Comédia,607
Ficção científica,607
Animação,49519
Aventura,49519
Família,49519
Fantasia,49519
Comédia,49519
Ação,49519
Comédia,45243
Drama,6479
Ficção científica,6479
Thriller,6479
Ação,1726
Ficção científica,1726
Aventura,1726
Ficção científica,333339
Aventura,333339
Ação,333339
Ação,460555
Thriller,460555
Guerra,460555
Drama,460555
Ação,1593
Aventura,1593
Comédia,1593
Família,1593
Fantasia,1593
Aventura,1892
Ação,1892
Ficção científica,1892
Drama,216015
Romance,216015
Thriller,216015
Ação,293167
Aventura,293167
Fantasia,293167
Animação,41513
Família,41513
Aventura,41513
Comédia,41513
Fantasia,41513
Animação,585
Comédia,585
Família,585
Aventura,254
Drama,254
Ação,254
Animação,49013
Família,49013
Aventura,49013
Comédia,49013
Ação,417859
Aventura,417859
Animação,417859
Família,417859
Fantasia,417859
Comédia,417859
Faroeste,417859
Comédia,381890
Fantasia,381890
Romance,381890
Ação,95
Thriller,95
Ficção científica,95
Aventura,95
Comédia,72105
Fantasia,72105
Aventura,955
Ação,955
Thriller,955
Ação,435
Aventura,435
Ficção científica,435
Thriller,435
Ação,246655
Aventura,246655
Ficção científica,246655
Fantasia,246655
Romance,150689
Fantasia,150689
Família,150689
Drama,150689
Guerra,190859
Ação,190859
